Booking_ID,Airline_ID,Country,Airline_Tier,Service_Rating,Cabin_Class,Seat_Type,Flight_Duration_Hours,Booking_Channel,Meals_Included,Payment_Type,Passenger_Age,Lead_Time_Days,Departure_Date,Departure_Month,Is_Weekend,Is_Public_Holiday,Load_Factor_Flight,Competitor_Avg_Fare_RM,Distance_KM,Review_Score,Promo_Applied,Events_Index_Destination,Ticket_Price_RM,Total_Spend_RM,Extra_Spend_Unscaled,Delay_Status,Satisfaction_Rating
102683,AL03, Malaysia ,premium,3.0,Economy,Window,3.13,Website,Yes,Card,51.0,5,2024-10-10,10,0,0,0.836,363.74,1106.6,7.71,0,47.7,670.12,762.44,102644,On-Time,2
100622,AL02, Malaysia ,budget,3.0,Premium Economy,Window,0.75,Walk-in,Yes,Online,34.0,47,2025-03-15,3,1,0,0.806,612.09,1962.9,8.19,1,46.1,935.66,1005.93,67084,On-Time,3
103618,AL13,Indonesia,full-service,3.0,Economy,Window,4.0,Mobile App, No ,Online,37.0,87,2025-03-02,3,1,0,0.368,971.42,3013.9,6.53,0,47.1,1205.51,1242.6,316269,Delayed,1
102688,AL15,thailand,budget,2.0,Economy,Aisle,2.8,mobile app, No , Cash ,28.0,19,2024-10-04,10,0,0,0.92,439.45,1234.8,5.71,1,66.4,513.22,658.77,53561,On-Time,3
101078,AL04,indonesia,full-service,4.0,Economy,Middle,6.99,Walk-in, No ,Card,45.0,14,2024-10-01,10,0,0,0.648,721.79,2034.7,10.0,0,73.9,918.65,976.61,230164,Cancelled,5
101527,AL17,Vietnam,full-service,3.0,economy,Middle,2.32,Website,No,Online,23.0,44,2024-01-12,1,0,0,0.803,508.86,2115.7,7.25,1,47.3,870.97,905.52,102459,On-Time,3
100345,AL17,Indonesia,full-service,3.0,Business,Window,5.48,Airport Counter,,Cash,39.0,38,2024-01-27,1,1,0,0.695,418.58,1393.1,6.68,0,71.4,889.84,1154.3,123392,On-Time,3
103081,AL12,Indonesia,premium,3.0,Premium Economy,Middle,0.85,Airport Counter,No,Card,47.0,26,2025-03-05,3,0,0,0.807,530.5,1380.2,7.02,1,42.1,619.94,688.76,66719,On-Time,1
101530,AL18,Singapore,budget,3.0,Economy,Middle,2.52,Mobile App,No,Online,37.0,0,2024-11-20,11,0,0,0.695,361.54,780.4,7.07,1,62.4,530.3,621.87,44760,Cancelled,2
103294,AL12,Singapore,premium,5.0,Premium Economy,Window,5.59,Mobile App,No,Online,36.0,7,2024-02-28,2,0,0,0.88,192.12,963.8,7.61,0,38.1,692.67,799.28,131597,On-Time,5
101723,AL11,Philippines,budget,3.0,Economy,Window,9.48,Website,Yes,Online,55.0,38,2024-10-23,10,0,1,0.808,432.0,1327.6,9.03,1,59.0,534.98,573.05,145616,Delayed,4
103006,AL06,Indonesia,premium,2.0,Economy,Aisle,8.02,Mobile App, No ,Online,31.0,17,2025-05-11,5,1,1,0.784,451.25,1537.8,6.63,0,61.7,858.38,978.55,185983,Delayed,2
101933,AL03,Philippines,premium,3.0,Economy,Middle,3.05,Mobile App,No,Cash,33.0,21,2024-07-14,7,1,0,0.768,461.05,1362.0,6.54,0,63.3,784.16,991.48,146891,Delayed,2
101108,AL06, PHILIPPINES ,premium,4.0,First,Aisle,7.61,Website, No ,Online,24.0,14,2024-07-02,7,0,0,0.609,710.49,2075.3,7.47,1,14.0,1097.79,1189.08,198009,On-Time,4
103395,AL14,singapore,full-service,5.0,Premium Economy,Aisle,9.3,mobile app,No, Card ,43.0,37,2024-05-24,5,0,1,0.817,431.83,1313.4,,0,26.9,777.75,939.68,180153,Delayed,2
102795,AL15,japan,budget,3.0,Economy,Middle,2.69,website,No, Online ,37.0,11,2024-12-16,12,0,0,0.855,238.25,579.2,8.32,0,27.5,528.19,639.72,110043,Delayed,3
103612,AL18,Singapore,budget,1.0,Economy,Middle,1.96,Website,Yes,Online,29.0,62,2024-01-14,1,1,1,0.625,498.08,1575.3,8.51,0,38.1,723.51,777.15,179533,Delayed,3
103774,AL05,Thailand,budget,4.0,Economy,Middle,1.69,Mobile App, No ,Card,42.0,16,2024-07-04,7,0,0,0.892,581.12,1965.5,8.55,1,37.4,825.44,879.88,82976,Delayed,3
100513,AL13,Thailand,full-service,3.0,Economy,Middle,5.32,travel agent, Yes , Card ,44.0,14,2025-05-19,5,0,0,0.796,358.65,919.4,,0,52.1,530.61,618.85,59428,Delayed,4
100194,AL09,Thailand,budget,3.0,Economy,Window,3.29,Travel Agent,No,Card,32.0,11,2025-06-22,6,1,0,0.865,596.46,1969.1,5.0,0,66.6,960.53,1070.19,215909,On-Time,1
101116,AL08,Malaysia,full-service,2.0,Economy,Window,4.98,Website, Yes ,Card,29.0,10,2024-01-02,1,0,0,0.7,251.9,560.1,7.46,0,47.2,452.33,498.83,59810,On-Time,4
101916,AL02,malaysia,budget,4.0,Business,Aisle,2.55,Mobile App,Yes,Card,26.0,38,2024-03-18,3,0,0,0.748,474.06,1274.3,6.37,1,54.2,750.19,928.36,149551,On-Time,3
103196,AL13, Singapore ,full-service,3.0,Economy,Aisle,3.82,travel agent, Yes ,Online,18.0,1,2024-07-31,7,0,0,0.684,562.56,1923.2,5.11,0,34.6,843.25,1076.27,132271,On-Time,3
103247,AL02,Japan,budget,3.0,Economy,Middle,1.19,travel agent, No ,Online,33.0,2,2024-09-13,9,0,1,0.854,297.25,558.8,6.84,0,60.6,534.93,739.86,152250,Delayed,2
102976,AL01, Japan ,full-service,2.0,economy,Window,4.79,Mobile App,No,Card,,33,2024-01-24,1,0,0,0.91,570.26,1810.8,8.43,1,70.1,761.76,862.13,217799,On-Time,4
103333,AL03,Indonesia,premium,5.0,Premium Economy,Window,5.2,Mobile App,No,Online,33.0,32,2024-04-05,4,0,0,0.895,573.98,1672.5,7.51,0,69.3,906.4,945.54,125586,Delayed,2
103388,AL11,Malaysia,budget,3.0,premium economy,Aisle,5.32,Travel Agent,Yes,Card,18.0,16,2024-05-19,5,1,0,0.775,146.28,635.8,7.08,0,70.1,588.35,682.96,139331,Delayed,2
102728,AL04,Malaysia,full-service,3.0,Economy,Window,4.4,Airport Counter,Yes,Online,34.0,12,2024-03-07,3,0,0,0.99,764.53,2373.8,8.07,0,41.6,1025.88,1207.57,188308,Delayed,2
101741,AL03, MALAYSIA ,premium,4.0,Business,Window,6.39,Mobile App,No,Online,23.0,17,2025-04-17,4,0,0,0.618,892.45,2617.0,9.49,1,39.2,1164.47,1241.2,218350,On-Time,5
102360,AL18, VIETNAM ,budget,3.0,Premium Economy,Window,4.9,Website, No ,Online,29.0,77,2024-04-16,4,0,0,0.748,,1406.8,10.0,0,36.2,740.6,812.35,76050,On-Time,5
103242,AL18,philippines,budget,1.0,Premium Economy,Aisle,3.15,Mobile App,No,Online,25.0,76,2024-11-27,11,0,0,0.882,329.61,665.7,8.49,0,68.1,556.36,708.05,124226,On-Time,3
103526,AL08,Indonesia,full-service,3.0,Economy,Window,3.16,Website,No,Online,30.0,78,2024-12-13,12,0,0,0.746,833.93,2671.1,6.38,0,30.9,1088.63,1156.04,76120,On-Time,3
103890,AL10,Vietnam,full-service,3.0,Economy,Middle,8.99,Mobile App,No,Online,19.0,0,2024-10-13,10,1,0,0.747,672.0,1738.3,7.23,1,50.9,740.77,849.52,94341,Delayed,4
102167,AL07,Malaysia,full-service,5.0,Business,Aisle,2.59,Website,No,Card,28.0,26,2025-03-06,3,0,0,,540.9,1887.2,7.21,0,46.7,1107.02,1229.83,194085,Delayed,2
100789,AL02,malaysia,budget,3.0,Economy,Aisle,8.91,website,Yes,Card,41.0,39,2024-04-13,4,1,0,0.653,477.4,1608.4,10.0,0,50.3,738.15,840.59,182711,Delayed,4
103187,AL14,indonesia,full-service,5.0,Premium Economy,Aisle,2.87,Mobile App, No ,Card,18.0,39,2024-10-13,10,1,0,0.817,311.95,1058.4,9.1,0,58.1,703.37,745.31,55290,On-Time,3
101051,AL18,Indonesia,budget,3.0,Business,Middle,3.4,mobile app,Yes,Online,38.0,97,2024-11-21,11,0,1,0.683,382.72,968.2,8.87,0,16.4,749.72,802.64,162629,On-Time,4
103155,AL13,Australia,full-service,1.0,Economy,Window,3.83,Airport Counter, No ,Online,57.0,32,2025-06-03,6,0,1,0.779,486.38,1400.6,8.26,0,89.9,769.66,799.57,125440,Delayed,3
103640,AL07,Singapore,full-service,3.0,Economy,Middle,3.87,Travel Agent,No,Online,27.0,19,2024-06-18,6,0,0,0.734,623.14,1858.9,6.64,0,39.3,886.98,955.99,110203,On-Time,2
101040,AL13,Australia,full-service,3.0,Economy,Window,5.52,Airport Counter,, Card ,32.0,4,2025-02-06,2,0,0,0.856,629.85,2041.8,10.0,1,26.9,767.9,902.54,163356,Delayed,5
101170,AL10,Malaysia,full-service,4.0,Economy,Window,3.31,Website, No , Card ,49.0,9,2024-04-02,4,0,0,0.918,321.85,950.3,6.38,0,35.5,591.2,654.81,57770,Delayed,3
102161,AL16,philippines,budget,4.0,Premium Economy,Aisle,6.0,Website,No,Card,37.0,74,2024-01-08,1,0,0,0.872,722.36,2105.2,7.07,0,35.0,989.62,1025.11,93594,On-Time,3
